# --------------------------------------------------------------------
#
#                             Isida Jabber Bot
#                               version 2.30
#
#                          Russian locale (woman)
#
# --------------------------------------------------------------------
#                  (c) 2oo9-2o1o Disabler Production Lab.
# --------------------------------------------------------------------

# file: ../trunk/kernel.py
Unknown error!	Неизвестная ошибка!
Error!	Ошибка!
No reason	Причина не указана
Unknown configuration request!	Неизвестный запрос конфигурации!
For configure required x:data-compatible client	Для настройки требуется x:data-совместимый клиент
AD-Block!	Блокировка рекламы!
Repeat message block!	Сообщения очень похожи!
Match message block!	Текст сообщения дублируется!
Blocked by censor!	Блокировано цензором!
Large message%s %s	Большое сообщение%s %s
Large message block!	Большое сообщение!
Warning! Your message is blocked in connection with the policy of the room!	Внимание! Ваше сообщение блокировано в связи с политикой комнаты!
Large status block!	Блокировка длинного статусного сообщения!
Large nick block!	Блокировка длинного ника!
To many rejoins! Wait %s sec.	Слишком много попыток входа! Ждите %s сек.
Status-flood block!	Блокировка статус-флуда!
Warning! Exceeded the limit of sending the same message. You are blocked for a period of %s sec.	Внимание! Превышен лимит отправки одинаковых сообщений. Вы блокированы на срок %s сек.
Censored!	Фильтруем базар!
Too many letters!	Слишком многа букаф!
*** %s set topic: %s	*** %s обновил(а) тему: %s
What?	Ась?
/me detect bad stanza from %s	/me смотрит на %s и думает: "Факин умник детектед!"
Kicked	Выгнали
Banned	Забанили
Change nick to %s	Сменил(а) ник на %s
Leave	Вышел
banned in	забанили в
kicked from	выгнали из
Bot was %s %s with reason: %s	Бота %s %s по причине: %s
Plugin %s. %s	Плагин %s. %s
Shutdown by CTRL+C...	Какой-то умник нажал CTRL+C в консоли...

# file: ../trunk/plugins/acl.py
Acl:	Действия:
Acl not found	Действия не найдены
Time format error!	Ошибка формата времени!
Error in parameters. Read the help about command.	Ошибка в параметрах, прочитайте помощь по команде.
Items: %s	Элементы: %s
Error in RegExp!	Ошибка в RegExp!
Removed:	Удалено:
Updated:	Обновлено:
Not found:	Не найдено:
Added:	Добавлено:
done	выполнено
Actions list.\nacl show - show list\nacl del [/silent] item - remove item from list\nacl [/time] [/silent] msg|message|prs|presence|role|affiliation|nick|jid|jidfull|res|all [sub|exp|cexp] pattern command - execute command by condition\nallowed variables in commands: ${NICK}, ${JID}, ${SERVER}\nsub = substring, exp = regular expression, cexp = case sensitive regular expression\ntime format is /number+identificator. s = sec, m = min, d = day, w = week, M = month, y = year. only one identificator allowed!	Список действий.\nacl show - показать список\nacl del [/silent] item - удалить элемент из списка\nacl [/time] [/silent] msg|message|prs|presence|role|affiliation|nick|jid|jidfull|res|all [sub|exp|cexp] pattern command - выполнить команду по условию\nдоступны переменные в командах: ${NICK}, ${JID}, ${SERVER}\nsub = подстрока, exp = регулярное выражение, cexp = регистрозависимое регулятрное выражение\nформат времени - /число+идентификатор. s = секунды, m = минуты, d = дни, w = недели, M = месяцы, y = годы. допустим только один идентификатор!

# file: ../trunk/plugins/adminmail.py
Time limit exceeded. Wait: %s	Превышен лимит скорости посылки сообщений. Подождите: %s
User %s (%s) from %s at %s send massage to you: %s	Пользователь %s (%s) из конференции %s в %s отправил(а) вам сообщение: %s
Sent	Отправила
Send message to bot's owner\nmsgtoadmin text	Отправить сообщение владельцу бота.\nmsgtoadmin текст сообщения

# file: ../trunk/plugins/afor.py
Something broken.	Что-то сломалось.
Show random aphorism from skio.ru | Author: ferym	Показывает случайный афоризм с ресурса skio.ru | Автор: ferym

# file: ../trunk/plugins/age.py
I see:	Я видела:
%s %s ago	%s %s назад
Leave %s ago	Вышел %s назад
Is here: %s	Находится тут: %s
Not found!	Не найдено!
%s (with nick: %s)	%s (с ником: %s)
I saw %s:	Я видела %s:
Send for you in private	Результат отправлен Вам в приват.
Show age of jid in conference.	Показывает какое время определённый jid или ник находился в данной конференции.
Show age of jid in conference splitted by nicks.	Показывает какое время определённый jid или ник находился в данной конференции с разбивкой по никам.
Show time of join/leave.	Показывает время входа/выхода.
Show time of join/leave splitted by nicks.	Показывает время входа/выхода с разбивкой по никам.
