# --------------------------------------------------------------------
#
#                             Isida Jabber Bot
#                               version 2.30
#
#                         Ukrainian locale (woman)
#
# --------------------------------------------------------------------
#                  (c) 2oo9-2o11 Disabler Production Lab.
# --------------------------------------------------------------------

# file: ../trunk/kernel.py
Unknown error!	Невідома помилка!
Error!	Помилка!
No reason	Причина не вказана
For configure required x:data-compatible client	Для налаштування потрібен x:data-сумісний клієнт
Unknown configuration request!	Невідомий запит конфігурації
AD-Block!	Блокування реклами
Repeat message block!	Повідомлення дуже схожі
Match message block!	Текст повідомлення дублюється
Blocked by censor!	Блоковано цензором
Large message%s %s	Велике повідомлення%s %s
Large message block!	Велике повідомлення заблоковано!
Warning! Your message is blocked in connection with the policy of the room!	Увага! Ваше повідомлення було блоковано у зв'язку з політикою конференції
Deny by whitelist!	Обмеження по білому списку
Large status block!	Блокування довгого статусного повідомлення
Large nick block!	Блокування довгого ніка
To many rejoins! Wait %s sec.	Занадто багато спроб входу! Чекайте %s с.
Status-flood block!	Блокування статус-флуду
Warning! Exceeded the limit of sending the same message. You are blocked for a period of %s sec.	Увага! Перевищено ліміт відправки однакових повідомлень. Ви заблоковані на термін %s сек.
Censored!	Фільтруємо балачки!
*** %s set topic: %s	*** %s поновив(ила) тему: %s
*** Topic: %s	*** Тема: %s
Too many letters!	Забагато літер!
What?	Шо?
/me detect bad stanza from %s	/me дивиться на %s і гадає: "Факін розумник детектед!"
Kicked	Вигнали
Banned	Забанили
Change nick to %s	Змінив(ла) нік на %s
Leave	Вийшов
banned in	забанено в
kicked from	вигнали з
Bot was %s %s with reason: %s	Бота %s %s з приводу: %s
Plugin %s. %s	Плагін %s. %s
Shutdown by CTRL+C...	Якийсь розумник натиснув CTRL+C у консолі...

# file: ../trunk/plugins/acl.py
Acl:	Дії:
Acl not found	Дії не знайдені
Time format error!	Помилка формату часу!
Error in parameters. Read the help about command.	Помилка в параметрах, прочитайте довідку за командою.
Items: %s	Елементи: %s
Error in RegExp!	Помилка в RegExp!
Removed:	Видалено:
Updated:	Поновлено:
Not found:	Не знайдено
Added:	Додано:
done	виконано
Actions list.\nacl show - show list\nacl del [/silent] item - remove item from list\nacl [/time] [/silent] msg|message|prs|presence|role|affiliation|nick|jid|jidfull|res|all [sub|exp|cexp] pattern command - execute command by condition\nallowed variables in commands: ${NICK}, ${JID}, ${SERVER}\nsub = substring, exp = regular expression, cexp = case sensitive regular expression\ntime format is /number+identificator. s = sec, m = min, d = day, w = week, M = month, y = year. only one identificator allowed!	Список дій.\nacl show - показати список\nacl del [/silent] item - видалити елемент із списку\nacl [/time] [/silent] msg|message|prs|presence|role|affiliation|nick|jid|jidfull|res|all [sub|exp|cexp] pattern command - виконати команду за умови\nnдоступні змінні в командах:${NICK}, ${JID}, ${SERVER}\nsub = підрядок, exp = регулярний вираз, cexp = регістрозалежний регулярний вираз\nформат часу - /число+ідентифікатор. s = секунди, m = хвилини, d = дні, w = тижні, m = місяці, y = роки. допустимий тільки один ідентифікатор!

# file: ../trunk/plugins/adminmail.py
Time limit exceeded. Wait: %s	Перевищено ліміт швидкості відправлення повідомлень. Чекайте: %s
User %s (%s) from %s at %s send massage to you: %s	Користувач %s (%s) з конференції %s в %s відправив(ила) вам повідомлення: %s
Sent	Відправила
Send message to bot's owner\nmsgtoadmin text	Надіслати повідомлення власнику бота.\nmsgtoadmin текст повідомлення

# file: ../trunk/plugins/afor.py
Something broken.	Щось зламалось.
Show random aphorism from skio.ru | Author: ferym	Показує випадковий афоризм з ресурсу skio.ru | Автор: ferym

# file: ../trunk/plugins/age.py
I see:	Я бачила:
%s %s ago	%s %s тому
Leave %s ago	Вийшов %s тому
Is here: %s	Знаходиться тут: %s
Not found!	Не знайдено!
%s (with nick: %s)	%s (з ніком: %s)
I saw %s:	Я бачила %s:
Send for you in private	Результат відправлений вам до привату.
Show age of jid in conference.	Показує, скільки часу визначений jid або нік знаходився в даній конференції.
Show age of jid in conference splitted by nicks.	Показує, скільки часу визначений jid або нік знаходився в даній конференції з розбивкою за ніками.
Show time of join/leave.	Показує час входу/виходу.
Show time of join/leave splitted by nicks.	Показує час входу/виходу з розбивкою за ніками.
Show time of join/leave + jid.	Показує час входу/виходу + jid. Результат роботи команди завжди направляється до привату.
Show time of join/leave + jid splitted by nicks.	Показує час входу/виходу + jid з розбивкою за ніками. Результат роботи команди завжди направляється до привату.

# file: ../trunk/plugins/anek.py
Show random anecdote | Author: ferym	Показує випадковий анекдот з інтернет-ресурсу | Автор: ferym

# file: ../trunk/plugins/answers.py
Export to file: %s | Total records: %s | Unique records: %s	Експорт до файлу: %s | Усього записів: %s | Після видалення дублікатів: %s
Import from file: %s | Total records: %s	Імпорт з файлу %s | Усього записів: %s
File %s not found!	Файл %s недоступний!
Import/Export answers base.\nanswers import [filename] - import from file\nanswers export [filename] - export to file	Імпорт/експорт бази відповідей до текстового файлу.\nanswers import [назва файлу] - імпорт відповідей з текстового файлу до бази\nanswers export [назва файлу] - експорт відповідей з бази до текстового файлу

# file: ../trunk/plugins/antitroll.py
You troll!	Ти троль!
Done	Готово
Repeat message to private.\ntroll nick\n[text]\n[number]	Повторення повідомлення кілька раз до привату.\ntroll нік\n[текст]\n[кількість]

# file: ../trunk/plugins/backup.py
Available copies:	Резервні копії:
Backup copies not found.	Резервні копії не знайдені.
I need an owner affiliation for backup settings!	Для резервного копіювання мені необхідні права власника конференції!
Copying completed!\nOwners:\t%s\nAdmins:\t%s\nMembers:\t%s\nBanned:\t%s	Копіювання завершено!\nВласників:\t%s\nАдмінів:\t%s\nУчасників:\t%s\nБаня:\t%s
I need an owner affiliation for restore settings!	Для відновлення резервної копії мені необхідні права власника конференції!
Restore completed.	Відновлення завершено.
Copy not found. Use key "show" for lisen available copies.	Копія не знайдена. Використовуйте ключ "show" для перегляду доступних копій.
What do you want to restore?	Що будемо відновлювати?
Backup/restore conference settings.\nbackup show|now|restore\nshow - show available copies\nnow - backup current conference\nrestore name_conference - restore settings name_conference in current conference	Резервне копіювання/відновлення конференцій.\nbackup show|now|restore\nshow - показати доступні копії\nnow - зберегти поточну конференцію\nrestore назва_конференції - відновити конференцію в поточній.

# file: ../trunk/plugins/bash.py
Quote not found!	Цитата не знайдена!
Quote from bash.org.ru\nbash [number]	Цитата с bash.org.ru\nbash [номер]
Quote from ibash.org.ru\nibash [number]	Цитата с ibash.org.ru\nibash [номер]

# file: ../trunk/plugins/blacklist.py
Leave conference %s\n	Залишила %s\n
Conference was added in blacklist	Конференція занесена до чорного списку
This conference already exist in blacklist.	Адреса уже є у списку.
You can't add last conference in blacklist.	Не можна додавати останню конференцію до чорного списку.
Add to blacklist: %s	Додано до чорного списку: %s
Removed from blacklist: %s	Видалено з чорного списку: %s
Address not in blacklist.	Адреса відсутня у чорному списку.
List is empty.	Список порожній.
List of conferences:\n	Список конференцій:\n
Cleared.	Очищено.
