# --------------------------------------------------------------------
#
#                             Isida Jabber Bot
#                               version 1.91
#
#                           Ukrainian locale (woman)
#
# --------------------------------------------------------------------
#                  (c) 2oo9-2o1o Disabler Production Lab.
# --------------------------------------------------------------------

# перевод isida.py и main.py
Locale not found!	Локалізація не знайдена!
Locale set to: %s	Встановлена локалізація: %s
Current locale: %s	Поточна локалізація: %s
What?	Га?
Censored!	Фільтруємо балачки!
Too many letters!	Забагато букоф!
*** %s set topic: %s	*** %s поновив(ила) тему: %s
/me detect bad stanza from %s	/me дивиться на %s і гадає: "Факін розумник детектед!"
Kicked	Вигнали
Banned	Забанили
Leave	Вийшов
Plugin %s. %s	Плагін %s. %s
Unknown error!	Невідома помилка!
No reason	Причина не вказана
Mon	Пн
Tue	Вт
Wed	Ср
Thu	Чт
Fri	Пт
Sat	Сб
Sun	Нд
Winter time	Зимовий час
Summer time	Літній час
Jan	Січ
Fed	Лют
Mar	Бер
Apr	Кві
May	Тра
Jun	Чер
Jul	Лип
Aug	Сер
Sep	Вер
Oct	Жов
Nov	Лис
Dec	Гру
Censor is %s	Цензор %s
Shutdown by CTRL+C...	Якийсь розумник натиснув CTRL+C у консолі...
Command execution error.	Помилка виконання команди.
ok	ок
I can't execute it! Error: %s	Я не можу це виконати! Помилка: %s
Enabled: %s	Включено: %s
Only conference owner can enable commands!	Ввімкнення команд доступне лише власнику конференції!
Command %s is not disabled!	Для даної конференції команда %s не була вимкнена!
What to enable?	Що ввімкнути?
Disabled commands: %s	Вимкнені команди: %s
Commands disabled before: %s	Вимкнені раніше команди: %s
Commands not found: %s	Не знайдені команди: %s
What to disable?	Що вимкнути?
Only conference owner can disable commands!	Вимкнення команд доступне лише власнику конференції!
Disabled commands: %s	Вимкнені команди: %s
Disabled commands not found!	Для даної конференції немає вимкнених команд!
leave this room.	залишив цю конференцію.
I can't see %s here... 	Я можу помилятися, але %s тут немає...
Last update:\n%s	Останнє поновлення:\n%s
File %s not found!	Файл %s недоступний!
Mode %s not detected!	Режим %s не впізнан!
Updated:	Поновлено:
Added:	Додано:
Removed: %s	Видалено: %s
Unable to remove %s	Неможливо видалити %s
Aliases: %s	Скорочення: %s
Aliases not found!	Скорочення не знайдені!
Flood is %s	Флуд %s
on	ввімк
off	вимк
%s days %s	%s днів %s
%s Days %s	%s дня %s
%s day %s	%s день %s
%s months %s	%s місяців %s
%s Months %s	%s місяця %s
%s month %s	%s місяць %s
%s years %s	%s років %s
%s Years %s	%s року %s
%s year %s	%s рік %s
Command prefix: %s	Префікс команд: %s
absent	відсутній
Smiles is %s	Смайли %s
Uptime: %s, Last session: %s	Час роботи: %s, Остання сесія: %s
Total Error(s): %s\n	Помилки: %s\n
No Errors	Немає помилок
Who do you need?	А чи був хлопчик?
Access level: %s	Доступ: %s
Ignored	Ігнорований
Minimal	Мінімальний
Admin/Owner	Адмін/Власник конфи
Bot's owner	Власник бота
%s, jid detected	%s, jid впізнаний
%s, Prefix: %s	%s, Префікс: %s
Total commands: %s | Prefix: %s | Your access level: %s | Available commands: %s%s	Усього команд %s | Префікс: %s | Ваш доступ: %s | Доступно команд: %s%s
access	доступ
Bot has 3 access level:\n0 - Available for all.\n1 - For admins/owners.\n2 - Bot's settings. Available only for bot owner	У бота 3 рівня доступу:\n0 - команди доступні всім без обмежень.\n1 - доступ не нижче адміністратора конференції.\n2 - команди управління і налаштувань бота. доступні лише власнику бота.
Prefix: %s, Available help for commands:\n	Префікс команд: %s, Доступна довідка з команд:\n
Access level: %s. %s	Рівень доступу: %s. %s
Send donation to: %sBest regards, %s	Реквізити для подяк/допомоги:%sЗ повагою, %s
%sInformation-referral bot%s Help for command: help command	%sІнформаційно-довідковий бот%s Довідка з команд: help команда
Rejoin by %s	Перезаходжу за командою %s
Error! %s	Помилка! %s
I have never been in %s	Вистачить бухати! Мене немає в %s
Wrong arguments!	Скурвлені аргументи!
Denied!	Заборонено!
Joined to %s	Зайшла до %s
I'm already in %s with nick %s	Вистачить бухати! Я вже в %s з ніком %s
Changed nick in %s to %s	Зміна ніку в %s на %s
I can't leave last room!	Не можу залишити останню конфу!
Leave room %s	Залишила %s
Leave room by %s	Мене виводить %s
Temporary message size limit %s	Тимчасовий ліміт обсягу повідомлень %s
Loaded plugin: %s\nAdd commands: %s	Завантажений плагін: %s\nДоступні команди: %s
Unloaded plugin: %s\nDel commands: %s	Видалений плагін: %s\nВидалені команди: %s
Available plugins: %s	Доступні плагіни: %s
Active plugins: %s	Активні плагіни: %s
Append: %s	Додано: %s
Wrong jid!	Невірний jid!
%s is alredy in list!	%s вже є у списку!
Removed: %s	Видалено: %s
Not found!	Не знайдено!
Bot owner(s): %s	Я приймаю команди від: %s
Ignore list: %s	Я не приймаю команди від: %s
Active conference(s): %s	Активних конференцій: %s
\nHidden conference(s): %s	\nПриховано конференцій: %s
Conference(s): %s (for more info use 'where' command)\n	Конференцій: %s (докладніше where)\n
Server: %s | Nick: %s\n	Сервер: %s | Нік: %s\n
Message size limit: %s\n	Ліміт обсягу повідомлень: %s\n
Local time: %s\n	Місцевий час: %s\n
\nSmilies: %s | Flood: %s | Censor: %s | Prefix: %s	\nСмайли: %s | Флуд: %s | Цензор: %s | Префікс команд: %s
What do you need to find?	Що ж будемо шукати?
I see you as %s/%s	Я бачу тебе як %s/%s
Found:	Знайдено:
'%s' not found!	'%s' не знайдено!
Encoding error!	Помилка визначення кодування
All RSS was cleared!	Усі RSS були видалені!
No RSS found!	RSS не знайдені!
All schedule feeds:	Усі новини:
Schedule feeds for %s:%s	Розклад новин в %s:%s
Schedule feeds for %s not found!	Розклад новин в %s не знайдено!
Add feed to schedule: %s (%s) %s	Додана новина в розклад: %s (%s) %s
Feeds for	Новини для
Bad url or rss/atom not found at %s - %s	Помилка url або новини не знайдені на %s - %s
Can't find in schedule: %s	Не можу знайти в розкладі: %s
Delete feed from schedule: %s	Видалено з розкладу: %s
New feeds not found!	Немає новин!

# --------------- перевод хелпов main.py ---------------
Help system. Helps without commands: about, donation, access	Показує поточні розділи довідкової системи. Розділи довідки без команд: about, donation, доступ
Join conference.\njoin room[@conference.server.ru[/nick]]	Вхід до конференції:\njoin room@conference.server.ru/nick - вхід до конференції room з ніком nick.\njoin room@conference.server.ru - вхід до конференції room з останнім заданим ніком.\njoin room - вхід до конференції room на останньому заданому сервері з останнім заданим ніком.
Leave conference.\nleave room[@conference.server.ru[/nick]]	Вихід з конференції:\nleave - вихід з поточної конференції.\nleave room - вихід з конференції room на останньому заданому сервері.\nleave room@conference.server.ru - вихід з конференції room
Rejoin conference.\nrejoin room[@conference.server.ru[/nick]]	Перезахід до конференції.\nrejoin - перезайти в поточну конференцію.\nrejoin room - перезайти в конференцію room на останньому заданому сервері.\nrejoin room@conference.server.ru - перезайти в конференцію room
Bot owners list.\nbot_owner show\nbot_owner add|del jid	Робота зі списком власників бота:\nbot_owner show - показати список власників.\nbot_owner add jid - додати jid до списку.\nbot_owner del jid - видалити jid зі списку.
Black list.\nbot_ignore show\nbot_ignore add|del jid	Робота з "Чорним списком":\nbot_ignore show - показати список.\nbot_ignore add jid - додати jid до списку.\nbot_ignore del jid - видалити jid зі списку.
Show conferences.	Показ конференцій, в яких знаходиться бот. Також показується нік бота в конференції і кількість учасників.
Your identification in global base.	Ідентифікація вас у глобальній базі.
Search user in conferences where the bot is.	Пошук учасника по конференціях, де знаходиться бот.
Search user in conferences where the bot is. Also show jids	Пошук учасника по конференціях, де знаходиться бот. Додатково будуть показані jid'и, якщо вони видні боту.
Local search in temporary base.	Локальний пошук по тимчасовій базі.
Global search in temporary base.	Глобальний пошук по тимчасовій базі.
News:\nrss show - show current.\nrss add url time mode - add news.\nrss del url - remove news.\nrss get url feeds mode - get current news.\nrss new url feeds mode - get unread news only.\nrss clear - clear all news in current conference.\nrss all - show all news in all conferences.\n\nurl - url of rss/atom chanel. can set without http://\ntime - update time. number + time identificator. h - hour, m - minute. allowed only one identificator.\nfeeds - number of messages to receive. 10 max.\nmode - receive mode. full - full news, head - only headers, body - only bodies.\nwith -url to be show url of news.	Канали новин:\nrss show - показати поточні підписки.\nrss add url time mode - додати підписку.\nrss del url - видалити підписку.\nrss get url feeds mode - отримати поточні новини.\nrss new url feeds mode - отримати лише непрочитані новини.\nrss clear - видалити всё новини в поточній конференції.\nrss all - показати усі новини в усіх конференціях.\n\nurl - адреса rss каналу. можна задавати без http://\ntime - час поновлення каналу. число + покажчик часу. h - години, m - хвилини. допускається лише один покажчик.\nfeeds - кількість повідомлень для отримання. не більше 10 шт.\nmode - режим отримання повідомлень. full - повідомлення цілком, head - лише заголовки, body - лише тіло повідомлення.\nс закінченням -url буде додатково показаний url новини.
Aliases.\nalias add new=old\nalias del|show text	Скорочені команди.\nalias add aa=bb - виконати команду bb при написанні команди aa\nalias del aa - видалити скорочення aa\nalias show [text] - показати усі скорочення або схожі на text.
Show commands list.	Показує список доступних команд.
Enable/Disable commands.\ncomm - show disable commands\ncomm on command - enable command\ncomm off command1[ command2 command3 ...] - disable one or more command	Ввімкнення/вимкнення команд.\ncomm - показати список\ncomm on команда - ввімкнути команду\ncomm off команда1[ команда2 команда3 ...] - вимкнути одну або кілька команд
Show bot uptime.	Час роботи бота.
Misc information about bot.	Різна інформація про бота.
Last svn update log	Показ svn-лога останнього оновлення бота
Smile action for role/affiliation change\nsmile [on|off]	Реакція смайлами на зміну ролі/аффіляції у даній конференції.\nsmile [ввімк|вимк]
Autoanswer\nflood [on|off]	Ввімкнення/вимкнення самонавчаючогося автовідповідача.\nflood [ввімк|вимк]
Censor notification\ncensor [on|off]	Ввімкнення/вимкнення цензор-нотифікатора.\ncensor [ввімк|вимк]
Set temporary message limit.	Обсяг повідомлення, понад якого повідомлення будуть розбиватися на частини, кратні цьому обсягу.
Plugin system.\nplugin show|local\nplugin add|del name	Управління системою плагінів:\nplugin show - показати підключені плагіни.\nplugin local - показати доступні для підключення плагіни.\nplugin add name - додати плагіни.\nplugin del name - видалити плагін.
Show error(s).\nerror [number|clear]	Показує останню логіровану помилку або останні, якщо заданий параметр.\nerror [number|clear]
Your identification.	Ваша ідентифікація перед ботом.
Identification.	Ідентифікація перед ботом.
Show status.	Показ статусу.
Set command prefix. Use 'none' for disabler prefix	Вказання префікса команд. Без параметра показує поточний префікс. Якщо параметром є none, префікс буде вимкнений.

# ------------------------------------------------------
#                       Plugins
# ------------------------------------------------------

# adminmail.py
Time limit exceeded. Wait: %s	Перевищен ліміт швидкості відправлення повідомлень. Чекайте: %s
User %s (%s) from %s at %s send massage to you: %s	Користувач %s (%s) з конференції %s в %s відправив(ила) вам повідомлення: %s
Sent	Відправила
# - help -
Send message to bot's owner\nmsgtoadmin text	Відіслати повідомлення власнику бота.\nmsgtoadmin текст повідомлення

# afor.py
Something is broken.	Щось зламалося.
# - help -
Show random aphorism from skio.ru | Author: ferym	Показує випадковий афоризм з ресурсу skio.ru | Автор: ferym


# age.py
I see:	Я бачила:
%s %s ago	%s %s тому
Leave %s ago	Вийшов %s тому
Is here: %s	Знаходиться тут: %s
%s (with nick: %s)	%s (з ніком: %s)
I saw %s:	Я бачила %s:
Send for you in private	Результат відправлений вам до привату.
# - help -
Show age of jid in conference.	Показує, скільки часу визначений jid або нік знаходився в даній конференції.
Show age of jid in conference splitted by nicks.	Показує, скільки часу визначений jid або нік знаходився в даній конференції з розбивкою за ніками.
Show time of join/leave.	Показує час входу/виходу.
Show time of join/leave splitted by nicks.	Показує час входу/виходу з розбивкою за ніками.
Show time of join/leave + jid.	Показує час входу/виходу + jid. Результат роботи команди завжди направляється до привату.
Show time of join/leave + jid splitted by nicks.	Показує час входу/виходу + jid з розбивкою за ніками. Результат роботи команди завжди направляється до привату.


# anek.py
# - help -
Show random anecdote | Author: ferym	Показує випадковий анекдот з інтернет-ресурсу | Автор: ferym


# answers.py
Export to file: %s | Total records: %s | Unique records: %s	Експорт до файлу: %s | Усього записів: %s | Після видалення дублікатів: %s
Import from file: %s | Total records: %s	Імпорт з файлу %s | Усього записів: %s
# - help -
Import/Export answers base.\nanswers import [filename] - import from file\nanswers export [filename] - export to file	Імпорт/експорт бази відповідей до текстового файлу.\nanswers import [назва файлу] - імпорт відповідей з текстового файлу до бази\nanswers export [назва файлу] - експорт відповідей з бази до текстового файлу


# antitroll.py
You troll!	Ти троль!
Done	Готово
# - help -
Repeat message to private.\ntroll nick\n[text]\n[number]	Повторення повідомлення кілька раз до привату.\ntroll нік\n[текст]\n[кількість]


# backup.py
Available copies:	Резервні копії:
Backup copies not found.	Резервні копії не знайдені.
I need an owner affiliation for backup settings!	Для резервного копіювання мені необхідні права власника конференції!
I need an owner affiliation for restore settings!	Для відновлення резервної копії мені необхідні права власника конференції!
Restore completed.	Відновлення завершено.
What do you want to restore?	Що будемо відновлювати?
Backup/restore conference settings.\nbackup show|now|restore\nshow - show available copies\nnow - backup current conference\nrestore name_conference - restore settings name_conference in current conference	Резервне копіювання/відновлення конференцій.\nbackup show|now|restore\nshow - показати доступні копії\nnow - зберегти поточну конференцію\nrestore назва_конференції - відновити конференцію в поточній.


# bash.py
Quote not found!	Цитата не знайдена!
comix	комікс
Quote from bash.org.ru\nbash [number]	Цитата с bash.org.ru\nbash [номер]
Quote from ibash.org.ru\nibash [number]	Цитата с ibash.org.ru\nibash [номер]


# blacklist.py
Leave conference %s\n	Залишила %s\n
Conference was added in blacklist	Конференція занесена до чорного списку
This conference already exist in blacklist.	Адреса уже є у списку.
You can't add last conference in blacklist.	Не можна додавати останню конференцію до чорного списку.
Add to blacklist: %s	Додано до чорного списку: %s
Removed from blacklist: %s	Видалено з чорного списку: %s
Address not in blacklist.	Адреса відсутня у чорному списку.
Error in parameters. Read the help about command.	Помилка в параметрах, прочитайте довідку за командою.
List is empty.	Список порожній.
Cleared.	Очищено.
List of conferences:\n	Список конференцій:\n
Manage of conferences blacklist.\nblacklist add|del|show|clear\nblacklist add|del room@conference.server.tld - add|remove address from blacklist\nblacklist show - show blacklist\nblacklist clear - clear blacklist	Чорний список конференцій.\nblacklist add|del|show|clear\nblacklist add|del room@conference.server.tld - додати|видалити конференцію до/з чорного списку\nblacklist show - показати список\nblacklist clear - очистити список


# calendar.py
\nMon Tue Wed Thu Fri Sat Sun\n	\nПн Вт Ср Чт Пт Сб Нд\n
Now: %s%s	Зараз: %s%s
Error!	Помилка!
Calendar. Without parameters show calendar for current month.\ncalendar [month][year][symbol_splitter]	Показ календаря. Без параметрів показує календар на поточний місяць\ncalendar [місяць][рік][символ_роздільник]


# clear.py
Clean by %s messages in approximately %s sec.	Розпочинаю зачистку! Повідомлень: %s, час зачистки приблизно %s сек.
Cleaned!	Стерильно!
Hidden cleaning of conference history.	Прихована очистка історії повідомлень. По замовчуванню буде послано 20 прихованих + 1 повідомлення в конференцію. Можна задати свій параметр від 2 до 100.


# convert.py
Available values:\n%s	Допустимі значення:\n%s
Currency converter\nconvert from to count\nconvert list	Конвертор валют\nconvert з до сума\nconvert list


# cron.py
I can't!	Не вмію!


# defcode.py
Search only for mobile phones Russia	Пошук лише по мобільних телефонах Россії!
Not found.	Не знайдено.
Found:\n%s%s	Знайдено:\n%s%s
